crossover_rate_subtree,crossover_rate_node_level,mutation_rate,tournament_size,experiment,generation,test_score,population
0.5,0.7,0.4,8,0,7,-528.8349637392115,40
0.5,0.7,0.4,8,0,8,-661.671508855969,40
0.5,0.7,0.4,8,0,9,-528.8349637392115,40
0.5,0.7,0.4,8,0,10,-770.9158384326311,40
0.5,0.7,0.4,8,0,11,-1087.5813482142382,40
0.5,0.7,0.4,8,0,12,-518.8557188466136,40
0.5,0.7,0.4,8,0,13,-892.2203240388143,40
0.5,0.7,0.4,8,0,14,-780.2201033724562,40
0.5,0.7,0.4,8,0,15,-1436.9033005746992,40
0.5,0.7,0.4,8,0,16,-780.2201033724562,40
0.5,0.7,0.4,8,0,17,-1026.6191715185885,40
0.5,0.7,0.4,8,0,18,-867.7455117696278,40
0.5,0.7,0.4,8,0,19,-1051.585007851526,40
0.5,0.7,0.4,8,0,20,-469.4051621232262,40
0.5,0.7,0.4,8,0,21,-867.7455117696278,40
0.5,0.7,0.4,8,0,22,-890.6152197822639,40
0.5,0.7,0.4,8,0,23,-966.5683789088102,40
0.5,0.7,0.4,8,0,24,-1032.8963292448473,40
0.5,0.7,0.4,8,0,25,-489.6375886871958,40
0.5,0.7,0.4,8,1,0,-1799.8943429321127,40
0.5,0.7,0.4,8,1,1,-1364.6654226367427,40
0.5,0.7,0.4,8,1,2,-1112.660693505613,40
0.5,0.7,0.4,8,1,3,-1391.9509075312722,40
0.5,0.7,0.4,8,1,4,-1112.4351073214466,40
0.5,0.7,0.4,8,1,5,-1112.4351073214466,40
0.5,0.7,0.4,8,1,6,-1114.729129101659,40
0.5,0.7,0.4,8,1,7,-974.0119085443068,40
0.5,0.7,0.4,8,1,8,-1117.3648547486578,40
0.5,0.7,0.4,8,1,9,-1466.7068179751082,40
0.5,0.7,0.4,8,1,10,-982.913279019052,40
0.5,0.7,0.4,8,1,11,-982.913279019052,40
0.5,0.7,0.4,8,1,12,-2083.2024942419857,40
0.5,0.7,0.4,8,1,13,-712.70627697394,40
0.5,0.7,0.4,8,1,14,-1046.4590980654666,40
0.5,0.7,0.4,8,1,15,-782.4778599592149,40
0.5,0.7,0.4,8,1,16,-891.0653802082322,40
0.5,0.7,0.4,8,1,17,-870.7850960165276,40
0.5,0.7,0.4,8,1,18,-407.9109749524414,40
0.5,0.7,0.4,8,1,19,-230.39009740066047,40
